adversarial_prob,confidence_change,flipped,method,original_prob,pixels_modified
0.6907379031181335,0.22664445638656616,1,differential_evolution,0.4640934467315674,
0.5897777080535889,0.12568426132202148,1,multi_pixel_1,0.4640934467315674,1.0
0.9027594923973083,0.43866604566574097,1,multi_pixel_2,0.4640934467315674,2.0
0.7796677947044373,0.3155743479728699,1,multi_pixel_3,0.4640934467315674,3.0
0.1685200333595276,0.6022779941558838,1,differential_evolution,0.7707980275154114,
0.5233943462371826,0.24740368127822876,0,multi_pixel_1,0.7707980275154114,1.0
0.3306069076061249,0.4401911199092865,1,multi_pixel_2,0.7707980275154114,2.0
0.11937680095434189,0.6514212265610695,1,multi_pixel_3,0.7707980275154114,3.0
0.045922596007585526,0.7840992026031017,1,differential_evolution,0.8300217986106873,
0.6854506134986877,0.1445711851119995,0,multi_pixel_1,0.8300217986106873,1.0
0.2612767517566681,0.5687450468540192,1,multi_pixel_2,0.8300217986106873,2.0
0.023362625390291214,0.806659173220396,1,multi_pixel_3,0.8300217986106873,3.0
0.8548281192779541,0.11024004220962524,0,differential_evolution,0.9650681614875793,
0.8264639973640442,0.13860416412353516,0,multi_pixel_1,0.9650681614875793,1.0
0.1724439114332199,0.7926242500543594,1,multi_pixel_2,0.9650681614875793,2.0
0.0070803528651595116,0.9579878086224198,1,multi_pixel_3,0.9650681614875793,3.0
0.12176404893398285,0.7849960476160049,1,differential_evolution,0.9067600965499878,
0.463038831949234,0.4437212646007538,1,multi_pixel_1,0.9067600965499878,1.0
0.09806721657514572,0.8086928799748421,1,multi_pixel_2,0.9067600965499878,2.0
0.012457957491278648,0.8943021390587091,1,multi_pixel_3,0.9067600965499878,3.0
0.817288875579834,0.10633713006973267,0,differential_evolution,0.9236260056495667,
0.5952188372612,0.3284071683883667,0,multi_pixel_1,0.9236260056495667,1.0
0.026390615850687027,0.8972353897988796,1,multi_pixel_2,0.9236260056495667,2.0
0.4067533612251282,0.5168726444244385,1,multi_pixel_3,0.9236260056495667,3.0
0.3224370777606964,0.5190682113170624,1,differential_evolution,0.8415052890777588,
0.4513821005821228,0.390123188495636,1,multi_pixel_1,0.8415052890777588,1.0
0.29611632227897644,0.5453889667987823,1,multi_pixel_2,0.8415052890777588,2.0
0.029812928289175034,0.8116923607885838,1,multi_pixel_3,0.8415052890777588,3.0
0.2889924645423889,0.1055230051279068,0,differential_evolution,0.18346945941448212,
0.37198933959007263,0.18851988017559052,0,multi_pixel_1,0.18346945941448212,1.0
0.5052028298377991,0.32173337042331696,1,multi_pixel_2,0.18346945941448212,2.0
0.6113317608833313,0.4278623014688492,1,multi_pixel_3,0.18346945941448212,3.0
0.6531396508216858,0.32782745361328125,0,differential_evolution,0.980967104434967,
0.8907507061958313,0.09021639823913574,0,multi_pixel_1,0.980967104434967,1.0
0.5064810514450073,0.4744860529899597,0,multi_pixel_2,0.980967104434967,2.0
0.07197841256856918,0.9089886918663979,1,multi_pixel_3,0.980967104434967,3.0
0.07729372382164001,0.5708504617214203,1,differential_evolution,0.6481441855430603,
0.4220062494277954,0.2261379361152649,1,multi_pixel_1,0.6481441855430603,1.0
0.0022894341964274645,0.6458547513466328,1,multi_pixel_2,0.6481441855430603,2.0
0.003406231291592121,0.6447379542514682,1,multi_pixel_3,0.6481441855430603,3.0
0.5109996199607849,0.43276137113571167,0,differential_evolution,0.9437609910964966,
0.7034923434257507,0.24026864767074585,0,multi_pixel_1,0.9437609910964966,1.0
0.029824087396264076,0.9139369037002325,1,multi_pixel_2,0.9437609910964966,2.0
0.2032226175069809,0.7405383735895157,1,multi_pixel_3,0.9437609910964966,3.0
0.058881454169750214,0.820028729736805,1,differential_evolution,0.8789101839065552,
0.4205949008464813,0.45831528306007385,1,multi_pixel_1,0.8789101839065552,1.0
0.25237253308296204,0.6265376508235931,1,multi_pixel_2,0.8789101839065552,2.0
0.0011318852193653584,0.8777782986871898,1,multi_pixel_3,0.8789101839065552,3.0
0.8456056714057922,0.11368507146835327,0,differential_evolution,0.9592907428741455,
0.5408897995948792,0.41840094327926636,0,multi_pixel_1,0.9592907428741455,1.0
0.01010602992027998,0.9491847129538655,1,multi_pixel_2,0.9592907428741455,2.0
0.0024735548067837954,0.9568171880673617,1,multi_pixel_3,0.9592907428741455,3.0
0.019332950934767723,0.011607460677623749,0,differential_evolution,0.007725490257143974,
0.027804851531982422,0.020079361274838448,0,multi_pixel_1,0.007725490257143974,1.0
0.09469417482614517,0.0869686845690012,0,multi_pixel_2,0.007725490257143974,2.0
0.1957687884569168,0.18804329819977283,0,multi_pixel_3,0.007725490257143974,3.0
0.5111032128334045,0.2841382622718811,0,differential_evolution,0.7952414751052856,
0.09759996831417084,0.6976415067911148,1,multi_pixel_1,0.7952414751052856,1.0
0.03938206285238266,0.755859412252903,1,multi_pixel_2,0.7952414751052856,2.0
0.10082482546567917,0.6944166496396065,1,multi_pixel_3,0.7952414751052856,3.0
0.2923266291618347,0.05383569002151489,0,differential_evolution,0.23849093914031982,
0.41804826259613037,0.17955732345581055,0,multi_pixel_1,0.23849093914031982,1.0
0.6808395385742188,0.4423485994338989,1,multi_pixel_2,0.23849093914031982,2.0
0.7002307176589966,0.46173977851867676,1,multi_pixel_3,0.23849093914031982,3.0
0.8617796301841736,0.07689863443374634,0,differential_evolution,0.9386782646179199,
0.8611293435096741,0.07754892110824585,0,multi_pixel_1,0.9386782646179199,1.0
0.3303757905960083,0.6083024740219116,1,multi_pixel_2,0.9386782646179199,2.0
0.24021083116531372,0.6984674334526062,1,multi_pixel_3,0.9386782646179199,3.0
0.4033483862876892,0.20105454325675964,0,differential_evolution,0.20229384303092957,
0.39740005135536194,0.19510620832443237,0,multi_pixel_1,0.20229384303092957,1.0
0.532198965549469,0.32990512251853943,1,multi_pixel_2,0.20229384303092957,2.0
0.636569082736969,0.43427523970603943,1,multi_pixel_3,0.20229384303092957,3.0
0.2544723153114319,0.6059523820877075,1,differential_evolution,0.8604246973991394,
0.5486766695976257,0.31174802780151367,0,multi_pixel_1,0.8604246973991394,1.0
0.05720222741365433,0.8032224699854851,1,multi_pixel_2,0.8604246973991394,2.0
0.08125085383653641,0.779173843562603,1,multi_pixel_3,0.8604246973991394,3.0
0.3940817713737488,0.06746074557304382,0,differential_evolution,0.32662102580070496,
0.45996251702308655,0.1333414912223816,0,multi_pixel_1,0.32662102580070496,1.0
0.5110120177268982,0.18439099192619324,1,multi_pixel_2,0.32662102580070496,2.0
0.5963087677955627,0.2696877419948578,1,multi_pixel_3,0.32662102580070496,3.0
0.9708034992218018,0.02458477020263672,0,differential_evolution,0.9953882694244385,
0.968531608581543,0.026856660842895508,0,multi_pixel_1,0.9953882694244385,1.0
0.34914088249206543,0.646247386932373,1,multi_pixel_2,0.9953882694244385,2.0
0.1098073199391365,0.885580949485302,1,multi_pixel_3,0.9953882694244385,3.0
0.3371015787124634,0.04916074872016907,0,differential_evolution,0.2879408299922943,
0.3605712354183197,0.07263040542602539,0,multi_pixel_1,0.2879408299922943,1.0
0.4114946126937866,0.12355378270149231,0,multi_pixel_2,0.2879408299922943,2.0
0.5034606456756592,0.21551981568336487,1,multi_pixel_3,0.2879408299922943,3.0
0.6559410095214844,0.18836140632629395,1,differential_evolution,0.46757960319519043,
0.5872934460639954,0.11971384286880493,1,multi_pixel_1,0.46757960319519043,1.0
0.6555192470550537,0.18793964385986328,1,multi_pixel_2,0.46757960319519043,2.0
0.7905678749084473,0.32298827171325684,1,multi_pixel_3,0.46757960319519043,3.0
0.9541356563568115,0.042455077171325684,0,differential_evolution,0.9965907335281372,
0.9865480065345764,0.010042726993560791,0,multi_pixel_1,0.9965907335281372,1.0
0.8987095355987549,0.09788119792938232,0,multi_pixel_2,0.9965907335281372,2.0
0.3989916145801544,0.5975991189479828,1,multi_pixel_3,0.9965907335281372,3.0
0.996991753578186,0.0016787052154541016,0,differential_evolution,0.9986704587936401,
0.9887377023696899,0.009932756423950195,0,multi_pixel_1,0.9986704587936401,1.0
0.9509086608886719,0.04776179790496826,0,multi_pixel_2,0.9986704587936401,2.0
0.2519295811653137,0.7467408776283264,1,multi_pixel_3,0.9986704587936401,3.0
0.3972439169883728,0.5597702264785767,1,differential_evolution,0.9570141434669495,
0.5013809204101562,0.4556332230567932,0,multi_pixel_1,0.9570141434669495,1.0
0.03410688042640686,0.9229072630405426,1,multi_pixel_2,0.9570141434669495,2.0
0.015228908509016037,0.9417852349579334,1,multi_pixel_3,0.9570141434669495,3.0
0.39924028515815735,0.1631382703781128,0,differential_evolution,0.23610201478004456,
0.5575263500213623,0.32142433524131775,1,multi_pixel_1,0.23610201478004456,1.0
0.6160880327224731,0.3799860179424286,1,multi_pixel_2,0.23610201478004456,2.0
0.7427228093147278,0.5066207945346832,1,multi_pixel_3,0.23610201478004456,3.0
0.7757721543312073,0.2110331654548645,0,differential_evolution,0.9868053197860718,
0.9572915434837341,0.029513776302337646,0,multi_pixel_1,0.9868053197860718,1.0
0.2338884025812149,0.7529169172048569,1,multi_pixel_2,0.9868053197860718,2.0
0.049571629613637924,0.9372336901724339,1,multi_pixel_3,0.9868053197860718,3.0
0.573269784450531,0.09890317916870117,1,differential_evolution,0.47436660528182983,
0.5617778897285461,0.08741128444671631,1,multi_pixel_1,0.47436660528182983,1.0
0.6076171398162842,0.13325053453445435,1,multi_pixel_2,0.47436660528182983,2.0
0.692152738571167,0.21778613328933716,1,multi_pixel_3,0.47436660528182983,3.0
0.35999444127082825,0.28435979038476944,0,differential_evolution,0.07563465088605881,
0.553619384765625,0.4779847338795662,1,multi_pixel_1,0.07563465088605881,1.0
0.5943312048912048,0.518696554005146,1,multi_pixel_2,0.07563465088605881,2.0
0.756202757358551,0.6805681064724922,1,multi_pixel_3,0.07563465088605881,3.0
0.9163424968719482,0.04436701536178589,0,differential_evolution,0.9607095122337341,
0.8836004137992859,0.07710909843444824,0,multi_pixel_1,0.9607095122337341,1.0
0.37339434027671814,0.587315171957016,1,multi_pixel_2,0.9607095122337341,2.0
0.04379885271191597,0.9169106595218182,1,multi_pixel_3,0.9607095122337341,3.0
0.876181423664093,0.12064707279205322,0,differential_evolution,0.9968284964561462,
0.9823843836784363,0.014444112777709961,0,multi_pixel_1,0.9968284964561462,1.0
0.43900322914123535,0.5578252673149109,1,multi_pixel_2,0.9968284964561462,2.0
0.45766621828079224,0.539162278175354,1,multi_pixel_3,0.9968284964561462,3.0
0.5936455130577087,0.13546884059906006,1,differential_evolution,0.4581766724586487,
0.5682874917984009,0.1101108193397522,1,multi_pixel_1,0.4581766724586487,1.0
0.6574810743331909,0.19930440187454224,1,multi_pixel_2,0.4581766724586487,2.0
0.654843807220459,0.1966671347618103,1,multi_pixel_3,0.4581766724586487,3.0
0.5448501110076904,0.1919994354248047,1,differential_evolution,0.35285067558288574,
0.5015065670013428,0.14865589141845703,1,multi_pixel_1,0.35285067558288574,1.0
0.6083249449729919,0.2554742693901062,1,multi_pixel_2,0.35285067558288574,2.0
0.6651028990745544,0.3122522234916687,1,multi_pixel_3,0.35285067558288574,3.0
0.1653352677822113,0.4562465250492096,1,differential_evolution,0.6215817928314209,
0.4918033480644226,0.1297784447669983,1,multi_pixel_1,0.6215817928314209,1.0
0.24321985244750977,0.37836194038391113,1,multi_pixel_2,0.6215817928314209,2.0
0.24271729588508606,0.37886449694633484,1,multi_pixel_3,0.6215817928314209,3.0
0.07595987617969513,0.789173349738121,1,differential_evolution,0.8651332259178162,
0.14445902407169342,0.7206742018461227,1,multi_pixel_1,0.8651332259178162,1.0
0.08728101849555969,0.7778522074222565,1,multi_pixel_2,0.8651332259178162,2.0
2.014936035266146e-05,0.8651130765574635,1,multi_pixel_3,0.8651332259178162,3.0
0.5113486051559448,0.18527957797050476,1,differential_evolution,0.32606902718544006,
0.4234467148780823,0.09737768769264221,0,multi_pixel_1,0.32606902718544006,1.0
0.6206371784210205,0.29456815123558044,1,multi_pixel_2,0.32606902718544006,2.0
0.6067074537277222,0.2806384265422821,1,multi_pixel_3,0.32606902718544006,3.0
0.023755528032779694,0.010537943802773952,0,differential_evolution,0.013217584230005741,
0.04183689504861832,0.028619310818612576,0,multi_pixel_1,0.013217584230005741,1.0
0.05323994159698486,0.04002235736697912,0,multi_pixel_2,0.013217584230005741,2.0
0.14888983964920044,0.1356722554191947,0,multi_pixel_3,0.013217584230005741,3.0
0.8820871114730835,0.08725488185882568,0,differential_evolution,0.9693419933319092,
0.6991775035858154,0.27016448974609375,0,multi_pixel_1,0.9693419933319092,1.0
0.4842338562011719,0.4851081371307373,1,multi_pixel_2,0.9693419933319092,2.0
0.20047760009765625,0.7688643932342529,1,multi_pixel_3,0.9693419933319092,3.0
0.802747905254364,0.15360450744628906,0,differential_evolution,0.9563524127006531,
0.8639690279960632,0.09238338470458984,0,multi_pixel_1,0.9563524127006531,1.0
0.2842817008495331,0.67207071185112,1,multi_pixel_2,0.9563524127006531,2.0
0.029966166242957115,0.926386246457696,1,multi_pixel_3,0.9563524127006531,3.0
0.9813056588172913,0.007300257682800293,0,differential_evolution,0.9886059165000916,
0.8825842142105103,0.1060217022895813,0,multi_pixel_1,0.9886059165000916,1.0
0.39037251472473145,0.5982334017753601,1,multi_pixel_2,0.9886059165000916,2.0
0.028789278119802475,0.9598166383802891,1,multi_pixel_3,0.9886059165000916,3.0
0.9608278274536133,0.03314763307571411,0,differential_evolution,0.9939754605293274,
0.9758039712905884,0.018171489238739014,0,multi_pixel_1,0.9939754605293274,1.0
0.859924852848053,0.13405060768127441,0,multi_pixel_2,0.9939754605293274,2.0
0.4804355204105377,0.5135399401187897,1,multi_pixel_3,0.9939754605293274,3.0
0.9817522764205933,0.014088094234466553,0,differential_evolution,0.9958403706550598,
0.9658700227737427,0.02997034788131714,0,multi_pixel_1,0.9958403706550598,1.0
0.9676955342292786,0.02814483642578125,0,multi_pixel_2,0.9958403706550598,2.0
0.8221489191055298,0.17369145154953003,0,multi_pixel_3,0.9958403706550598,3.0
0.6277187466621399,0.29360878467559814,0,differential_evolution,0.921327531337738,
0.45881810784339905,0.462509423494339,1,multi_pixel_1,0.921327531337738,1.0
0.21651972830295563,0.7048078030347824,1,multi_pixel_2,0.921327531337738,2.0
0.07545023411512375,0.8458772972226143,1,multi_pixel_3,0.921327531337738,3.0
0.6421133279800415,0.15573561191558838,1,differential_evolution,0.4863777160644531,
0.6720059514045715,0.1856282353401184,1,multi_pixel_1,0.4863777160644531,1.0
0.7888148427009583,0.3024371266365051,1,multi_pixel_2,0.4863777160644531,2.0
0.8191089034080505,0.3327311873435974,1,multi_pixel_3,0.4863777160644531,3.0
0.303836464881897,0.12049570679664612,0,differential_evolution,0.18334075808525085,
0.2991650402545929,0.11582428216934204,0,multi_pixel_1,0.18334075808525085,1.0
0.5628809928894043,0.37954023480415344,1,multi_pixel_2,0.18334075808525085,2.0
0.6248331665992737,0.4414924085140228,1,multi_pixel_3,0.18334075808525085,3.0
0.5742411017417908,0.15837278962135315,1,differential_evolution,0.4158683121204376,
0.5447685122489929,0.1289002001285553,1,multi_pixel_1,0.4158683121204376,1.0
0.608557939529419,0.19268962740898132,1,multi_pixel_2,0.4158683121204376,2.0
0.6803795099258423,0.26451119780540466,1,multi_pixel_3,0.4158683121204376,3.0
0.9019267559051514,0.08375531435012817,0,differential_evolution,0.9856820702552795,
0.9534987211227417,0.03218334913253784,0,multi_pixel_1,0.9856820702552795,1.0
0.9018240571022034,0.08385801315307617,0,multi_pixel_2,0.9856820702552795,2.0
0.19078028202056885,0.7949017882347107,1,multi_pixel_3,0.9856820702552795,3.0
0.7917860150337219,0.18827718496322632,0,differential_evolution,0.9800631999969482,
0.9572895765304565,0.0227736234664917,0,multi_pixel_1,0.9800631999969482,1.0
0.4024523198604584,0.5776108801364899,1,multi_pixel_2,0.9800631999969482,2.0
0.19439750909805298,0.7856656908988953,1,multi_pixel_3,0.9800631999969482,3.0
0.0010054660961031914,0.0004136979696340859,0,differential_evolution,0.0005917681264691055,
0.001238600816577673,0.0006468326901085675,0,multi_pixel_1,0.0005917681264691055,1.0
0.0018285381374880672,0.0012367700110189617,0,multi_pixel_2,0.0005917681264691055,2.0
0.003268123371526599,0.0026763552450574934,0,multi_pixel_3,0.0005917681264691055,3.0
0.7737278938293457,0.17741870880126953,0,differential_evolution,0.9511466026306152,
0.8352874517440796,0.11585915088653564,0,multi_pixel_1,0.9511466026306152,1.0
0.426604688167572,0.5245419144630432,1,multi_pixel_2,0.9511466026306152,2.0
0.0681183785200119,0.8830282241106033,1,multi_pixel_3,0.9511466026306152,3.0
0.9119129776954651,0.08505994081497192,0,differential_evolution,0.996972918510437,
0.9920454025268555,0.004927515983581543,0,multi_pixel_1,0.996972918510437,1.0
0.27046841382980347,0.7265045046806335,1,multi_pixel_2,0.996972918510437,2.0
0.22565169632434845,0.7713212221860886,1,multi_pixel_3,0.996972918510437,3.0
0.011415265500545502,0.00710183335468173,0,differential_evolution,0.0043134321458637714,
0.009742331691086292,0.005428899545222521,0,multi_pixel_1,0.0043134321458637714,1.0
